SIMRUN,TIMEINT,DATACOLLECTIONMEASUREMENT,ACCELERATION,DIST,LENGTH,VEHS,PERS,QUEUEDELAY,SPEEDAVGARITH,SPEEDAVGHARM,OCCUPRATE
1,103-1,1,0.24493153067997261,286.94700031257031014,1.77470004558563232,1,1,0.00000000000000000,42.11803266939173795,42.11803266939173795,0.00507275468438368
1,103-1,2,,,,0,0,,,,0.00000000000000000
1,103-1,3,-0.35677390084158145,202.59561304800340054,5.18133117202332816,7,7,0.00000000000000000,38.96901388564027258,36.83261706788823631,0.09244118405174255
1,103-1,4,-1.07942673189806793,344.54247623650047672,9.08823019742965599,2,2,0.00000000000000000,45.55719029820434685,44.85323227890338416,0.04802576860250873
1,103-2,1,-0.22411130246001179,285.52088510751019612,4.13326526631110802,10,10,1.69999999999999996,26.76107581738277830,11.45071812962628499,0.31846823385645989
1,103-2,2,-1.39802821638487118,399.45766565717144658,7.17955729603767345,4,4,0.00000000000000000,43.62484806150082051,42.82465451357024477,0.08721207033694303
1,103-2,3,-1.18158418131648579,203.16314012221380381,4.16293424224845943,16,16,0.00000000000000000,34.47502939625558582,33.34361363394471311,0.22691737042696167
1,103-2,4,-1.47325300646276247,342.55892672976227686,5.61476449284182078,13,13,0.00000000000000000,37.00746377353836181,34.09404900337505495,0.22416317266905708
1,103-3,1,-0.35232803253878187,281.51961201736713747,3.76843377609252972,5,5,10.19999999999999929,13.91374751411188448,9.77310498855354481,0.18846132156998507
1,103-3,2,-0.77859636972933122,400.22792448564916867,3.83969369219535617,10,10,3.00000000000000000,36.27044010364799220,35.78267866567944111,0.12332606507308459
1,103-3,3,-0.45152960163659606,199.24071106503492956,4.54669417734127901,20,20,0.00000000000000000,28.59433527952494458,25.61235631662236401,0.47317285987547020
1,103-3,4,-1.04154634159766424,338.98016255995491974,4.14046219028163431,21,21,0.00000000000000000,29.40510402179792138,27.34465000293473480,0.37245077275316368
1,103-4,1,,,,0,0,,,,0.00000000000000000
1,103-4,2,0.02211951527362997,394.44729478977444614,5.56496089079968481,8,8,3.50000000000000000,15.85292993660845262,10.94764598444205284,0.45245063553532106
1,103-4,3,-1.91789699841095707,200.34771537242923500,4.65142369742816175,22,22,0.13636363636363635,22.60049490613202750,17.06379365255262570,0.79106512585983824
1,103-4,4,-0.83428131415054507,338.20368208713819058,4.71330328025797751,15,15,0.00000000000000000,23.80957099939789856,22.76783655230174119,0.37890872509691081
1,103-5,1,0.64673580240540574,288.14249887454423060,4.90888766868612514,14,14,57.92857142857143060,28.63154421778676806,23.20879854460597258,0.31591157204107012
1,103-5,2,-0.64991096349216482,390.79333980487581357,5.22813336372375481,3,3,12.00000000000000000,20.20220783116310415,9.37427477426764355,0.89454732515235424
1,103-5,3,-1.70429268025093306,200.08858647770244943,3.78583693681409983,7,7,0.71428571428571430,15.93572672605506213,7.24069808276524363,0.31720939745066890
1,103-5,4,-1.29111168091698181,337.97305430448034258,4.31741672792132913,17,17,0.35294117647058826,19.80970249739928590,10.09502541114869523,0.73398261928855768
1,103-6,1,-0.78417071367256952,285.12478263689769165,4.32615182451751945,11,11,36.45454545454545325,22.24148563965666980,18.90819827921485796,0.28619680333454295
1,103-6,2,-0.09266593907864323,396.37949962795494230,6.87839560476932110,9,9,28.55555555555555713,22.43004793175238731,21.92142249921100472,0.66761695962740364
1,103-6,3,0.16804646528158257,194.63830614208919201,5.76878813096880894,4,4,18.75000000000000000,4.09241523379676231,3.66542678422883395,0.90092425446623758
1,103-6,4,0.40317709415154934,336.60774463974354376,4.41303244096304503,21,21,3.80952380952380931,18.18693395098587828,6.89496868326444723,0.75850729426754815
1,103-7,1,-0.41116087849758126,284.30615371851496320,3.37928611379846799,4,4,45.00000000000000000,8.09016039734501646,2.92326337090611732,0.50834063383055272
1,103-7,2,-0.39675772533052034,395.44227777127559875,5.65332127998086431,11,11,25.09090909090908994,21.55766027230936643,13.60985704763010062,0.51179103811127413
1,103-7,3,1.32419484551205779,198.04976427664570338,4.95430297929579311,11,11,46.90909090909090651,15.50712396079341993,8.69847543124655509,0.88698367436077963
1,103-7,4,0.29428417909605714,337.29233847458772289,6.24600814420515693,11,11,7.63636363636363669,22.18002366717503548,16.45297675956434702,1.00000000000000000
1,103-8,1,,,,0,0,,,,1.00000000000000000
1,103-8,2,-2.08529071214692019,397.96943995193095134,2.62576929728190089,3,3,10.33333333333333393,23.71545550569857497,23.63922817413135746,1.00000000000000000
1,103-8,3,0.00110974215065257,200.60539208632920349,3.56858031791437247,16,16,21.18750000000000000,27.86638819719320281,19.56147825327545675,0.93293243066548637
1,103-8,4,0.23002554978404899,336.87023967524498858,3.96057176161800717,12,12,24.25000000000000000,11.88595609276297616,7.72429694505641962,0.97424563263254715
1,103-9,1,0.73538294548672478,284.75372648228875505,3.07923927915077256,19,19,90.21052631578947967,19.61991518412692059,15.43286002923894884,0.65908456056986420
